사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업장면적,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
텐퍼센트커피 수원율전점,경기도,수원시,경기도 수원시 장안구 서부로2181번길 40,경기도 수원시 장안구 율전동 101-1,37.30316284,126.9705989,60.85,031-2269-3066,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
러브커피브루어스,경기도,수원시,경기도 수원시 장안구 월드컵로404번길 10,경기도 수원시 장안구 연무동 247,37.2928195,127.0281891,37.72,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
TOP PC방,경기도,수원시,경기도 수원시 장안구 송원로86번길 4,경기도 수원시 장안구 조원동 752,37.30211779,127.0101314,18,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
지에스25 북수원자이점,경기도,수원시,경기도 수원시 장안구 장안로 271,경기도 수원시 장안구 정자동 530-6,37.30504309,126.9897932,8.27,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
즉석두부,경기도,수원시,경기도 수원시 장안구 경수대로976번길 22,경기도 수원시 장안구 조원동 881,37.30632759,127.0047182,10,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
씨유 수원현대베스트점,경기도,수원시,경기도 수원시 장안구 정자천로188번길 73,경기도 수원시 장안구 정자동 30-11,37.29359053,126.9983857,2.51,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
주식회사 홈마트,경기도,수원시,경기도 수원시 장안구 덕영대로425번길 23,경기도 수원시 장안구 율전동 157-3,37.30188372,126.9694986,10.36,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
요거저거,경기도,수원시,경기도 수원시 장안구 송원로59번길 15,경기도 수원시 장안구 송죽동 501-13,37.30077895,127.0075946,29.1,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
이마트24 수원장안조원점,경기도,수원시,경기도 수원시 장안구 조원로89번길 40,경기도 수원시 장안구 조원동 759-4,37.29982974,127.0141285,0.7,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
백남옥손만두 렉스비아점,경기도,수원시,경기도 수원시 장안구 장안로 271,경기도 수원시 장안구 정자동 530-6,37.30504309,126.9897932,34.37,031-268-1555,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
바이닐 스타필드수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,364.44,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
퓨어수제케이크,경기도,수원시,경기도 수원시 장안구 장안로89번길 10,경기도 수원시 장안구 정자동 46-26,37.29202236,127.001426,17.89,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
세븐일레븐 수원만석중앙점,경기도,수원시,경기도 수원시 장안구 만석로209번길 7,경기도 수원시 장안구 송죽동 444,37.30509308,127.0007407,2.96,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
리틀꼬마김밥화서역,경기도,수원시,경기도 수원시 장안구 수성로157번길 60,경기도 수원시 장안구 정자동 961,37.28846813,126.9906196,41.32,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
몽슈슈 수원화서역점,경기도,수원시,경기도 수원시 장안구 대평로 27,경기도 수원시 장안구 정자동 950,37.28997234,126.9945886,69.33,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
컴포즈커피 북수원자이렉스비아점,경기도,수원시,경기도 수원시 장안구 장안로 271,경기도 수원시 장안구 정자동 530-6,37.30504309,126.9897932,53.2,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
행복한찹쌀꽈배기 한일타운점,경기도,수원시,경기도 수원시 장안구 경수대로976번길 36,경기도 수원시 장안구 송죽동 79,37.30635806,127.0042066,25.25,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원영복사거리점,경기도,수원시,경기도 수원시 장안구 장안로 26,경기도 수원시 장안구 영화동 425-3,37.28742692,127.0060609,76.62,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
지에스25 장안수원천로,경기도,수원시,경기도 수원시 장안구 수원천로442번길 13,경기도 수원시 장안구 연무동 253-35,37.29138065,127.022662,1.3,080-555-2525,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
백억커피 서수원점,경기도,수원시,경기도 수원시 장안구 서부로2106번길 26-3,경기도 수원시 장안구 율전동 433-128,37.29737719,126.9716917,40.84,070-4012-6604,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
코코스퀘어 수원,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,51.59,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
지에스25 장안파장로,경기도,수원시,경기도 수원시 장안구 파장로 112,경기도 수원시 장안구 파장동 570-26,37.30859829,126.9896914,10.86,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
부엉이네빵,경기도,수원시,경기도 수원시 장안구 경수대로1081번길 36,경기도 수원시 장안구 파장동 573-27,37.30801845,126.9929429,25.25,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
씨유 장안수일로점,경기도,수원시,경기도 수원시 장안구 수일로 108,경기도 수원시 장안구 송죽동 98-16,37.30911015,127.0023778,2.01,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
윌로우,경기도,수원시,경기도 수원시 장안구 수성로261번길 16,경기도 수원시 장안구 정자동 73-10,37.29069027,127.0008813,45.73,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
오빠네컴퍼니,경기도,수원시,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775,37.29798904,127.0113341,10,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
카페 데,경기도,수원시,경기도 수원시 장안구 경수대로743번길 90,경기도 수원시 장안구 연무동 192-2,37.28826876,127.0194635,104.36,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
아덴블랑제리,경기도,수원시,경기도 수원시 장안구 정자로19번길 18,경기도 수원시 장안구 천천동 569,37.30069288,126.9794101,37.8,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원국세청삼거리점,경기도,수원시,경기도 수원시 장안구 경수대로 1110-12,경기도 수원시 장안구 파장동 217,37.31107102,126.9922193,51.73,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
유캔커피,경기도,수원시,경기도 수원시 장안구 장안로217번길 14,경기도 수원시 장안구 정자동 383,37.30179547,126.9934422,32.26,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
버거킹 수원정자사거리점,경기도,수원시,경기도 수원시 장안구 장안로 73,경기도 수원시 장안구 정자동 76-8,37.29084622,127.0027758,165.75,070-7459-7215,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
신선한분식,경기도,수원시,경기도 수원시 장안구 정자천로13번길 36,경기도 수원시 장안구 천천동 325-22,37.29042153,126.9785179,27,031-294-3714,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
세븐일레븐 수원정자의료원점,경기도,수원시,경기도 수원시 장안구 장안로75번길 61,경기도 수원시 장안구 정자동 75-3,37.28985429,126.9995401,4.79,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
세븐일레븐 성균관대입구점,경기도,수원시,경기도 수원시 장안구 서부로2106번길 10,경기도 수원시 장안구 율전동 433-68,37.29667899,126.971401,32.94,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
케이크바이유,경기도,수원시,경기도 수원시 장안구 경수대로927번길 12-7,경기도 수원시 장안구 송죽동 500-17,37.30141471,127.0078175,38.73,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원정자대평초점,경기도,수원시,경기도 수원시 장안구 만석로 99,경기도 수원시 장안구 정자동 333-5,37.29892279,126.9920857,53.87,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
라스토랑,경기도,수원시,경기도 수원시 장안구 경수대로 940,경기도 수원시 장안구 조원동 894,37.30314585,127.0080556,62.7,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
미루꾸커피 수원스타필드점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,135.86,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
파머스,경기도,수원시,경기도 수원시 장안구 정조로1102번길 2,경기도 수원시 장안구 송죽동 455-18,37.3030314,127.0021202,10.24,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
보난자커피 수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,112.05,1670-3212,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
이마트24R스타필드수원1호점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,7.45,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
스타벅스 스타필드수원6F,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,187.04,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
스타벅스 스타필드수원1F,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,317.39,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
인크커피 스타필드수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,200,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
그라츠커피랩 수원조원점,경기도,수원시,경기도 수원시 장안구 경수대로976번길 22,경기도 수원시 장안구 조원동 881,37.30632759,127.0047182,25.44,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원한일타운점,경기도,수원시,경기도 수원시 장안구 경수대로994번길 34,경기도 수원시 장안구 송죽동 83,37.30678768,127.0041448,47.46,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
슈퍼말차 스타필드수원,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,92.72,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
닭발대란,경기도,수원시,경기도 수원시 장안구 송원로 20,경기도 수원시 장안구 송죽동 517,37.29709458,127.006568,8.84,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
폴바셋 스타필드수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,33.15,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
본누벨 베이커리 수성로,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,397.57,031-526-0557,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
삼진식품,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,47,051-412-5468,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
앤티앤스,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,37.76,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
하삼동커피 수원정자점,경기도,수원시,경기도 수원시 장안구 대평로 72,경기도 수원시 장안구 정자동 878-6,37.29480426,126.9939542,31.39,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
솥밥예찬,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,35.63,070-4521-7114,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
아메리칸트레일러시즌테이블 스타필드수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,56.86,031-925-9503,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
젤라떼리아도도 스타필드수원,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,81.45,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
하프타임클럽 스타필드수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,23.16,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
컴포즈커피 수원조원점,경기도,수원시,경기도 수원시 장안구 조원로 69,경기도 수원시 장안구 조원동 740,37.29955234,127.0172991,89.58,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
공차 수원스타필드점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,66.59,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
빠우 스타필드수원점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,36.37,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
열정신바람장터,경기도,수원시,경기도 수원시 장안구 장안로 232,경기도 수원시 장안구 정자동 395,37.30437487,126.9934743,6.08,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
씨유 장안동신점,경기도,수원시,경기도 수원시 장안구 장안로 226,경기도 수원시 장안구 정자동 395-5,37.30263105,126.9943497,7.45,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
윤바커피,경기도,수원시,경기도 수원시 장안구 조원로89번길 13,경기도 수원시 장안구 조원동 742-23,37.30035669,127.0153945,20.3,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
컴포즈커피 수원송죽점,경기도,수원시,경기도 수원시 장안구 경수대로973번길 18,경기도 수원시 장안구 송죽동 453-29,37.30371452,127.0040992,27.57,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
㈜고메드갤러리아 스타필드수원 그랜드델리아,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,22.64,02-3397-6000,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
트레이더스홀세일클럽스타필드 수원화서점 T카페,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,594.42,031-690-1812,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
배스킨라빈스 수원화서트레이더스점,경기도,수원시,경기도 수원시 장안구 수성로 175,경기도 수원시 장안구 정자동 111-14,37.28748291,126.9908375,49.45,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
유캔두잇 수원정자점,경기도,수원시,경기도 수원시 장안구 송정로104번길 2,경기도 수원시 장안구 정자동 9-1,37.29531095,127.0083734,79.89,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
알로하나,경기도,수원시,경기도 수원시 장안구 송원로 20,경기도 수원시 장안구 송죽동 517,37.29709458,127.006568,29.14,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 화서역브리시엘점,경기도,수원시,경기도 수원시 장안구 수성로157번길 60,경기도 수원시 장안구 정자동 961,37.28846813,126.9906196,54.79,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
주식회사 지디,경기도,수원시,경기도 수원시 장안구 정조로 979,경기도 수원시 장안구 정자동 2-1,37.29412211,127.0097738,32.77,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
씨유 장안대평로점,경기도,수원시,경기도 수원시 장안구 대평로 136,경기도 수원시 장안구 정자동 338-12,37.29987112,126.9906783,1.91,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
벌툰아라비아 수원성대점,경기도,수원시,경기도 수원시 장안구 서부로2105번길 13,경기도 수원시 장안구 율전동 408-8,37.2965291,126.9693843,243.3,031-291-0117,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
컴포즈커피 화서역브리시엘점,경기도,수원시,경기도 수원시 장안구 수성로157번길 60,경기도 수원시 장안구 정자동 961,37.28846813,126.9906196,50.74,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
비네즈,경기도,수원시,경기도 수원시 장안구 덕영대로417번길 52-33,경기도 수원시 장안구 율전동 145-2,37.30349798,126.9690143,44.63,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
GS25 율전청개구리공원,경기도,수원시,경기도 수원시 장안구 상률로46번길 3,경기도 수원시 장안구 율전동 554,37.30569865,126.9710574,1.1,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
카페블루포트 성균관대복지회관점,경기도,수원시,경기도 수원시 장안구 서부로 2066,경기도 수원시 장안구 천천동 585,37.29401434,126.9745794,26.68,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
뚠뚠 곱도리탕과 덮밥 수원장안점,경기도,수원시,경기도 수원시 장안구 수성로328번길 6,경기도 수원시 장안구 영화동 450-3,37.2918473,127.0080615,7.96,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원만석공원점,경기도,수원시,경기도 수원시 장안구 정조로1088번길 18-1,경기도 수원시 장안구 송죽동 459-2,37.30292099,127.0037081,131.01,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
크리드PC방,경기도,수원시,경기도 수원시 장안구 정자천로13번길 45,경기도 수원시 장안구 천천동 325-40,37.29080679,126.9783592,5.93,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원성균관대점,경기도,수원시,경기도 수원시 장안구 서부로 2125,경기도 수원시 장안구 율전동 291-4,37.29838304,126.9710482,53.38,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 천천중앙점,경기도,수원시,경기도 수원시 장안구 정자로 20,경기도 수원시 장안구 천천동 501-11,37.30002047,126.9790863,119.04,031-271-5713,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
플러스82 성균관대점,경기도,수원시,경기도 수원시 장안구 서부로2106번길 26-36,경기도 수원시 장안구 율전동 439-42,37.29690508,126.9722226,25.6,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
다비안케이크,경기도,수원시,경기도 수원시 장안구 장안로90번길 2,경기도 수원시 장안구 정자동 71-7,37.29221319,127.0022459,23.82,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
지에스25 천천한일,경기도,수원시,경기도 수원시 장안구 하률로12번길 10,경기도 수원시 장안구 천천동 561-1,37.30244638,126.9742799,3,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
우지커피 수원장안구청점,경기도,수원시,경기도 수원시 장안구 송원로 81,경기도 수원시 장안구 조원동 898-1,37.3021367,127.0092288,54.02,0507-1376-5401,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
CU 조원드림점,경기도,수원시,경기도 수원시 장안구 송정로187번길 35-6,경기도 수원시 장안구 조원동 766-2,37.2999445,127.0150709,6.6,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
스타벅스 수원조원DT,경기도,수원시,경기도 수원시 장안구 경수대로 831,경기도 수원시 장안구 조원동 917,37.29510284,127.0158735,460.6,1522-3232,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
북문왕김밥,경기도,수원시,경기도 수원시 장안구 수성로327번길 8,경기도 수원시 장안구 정자동 82-15,37.29263428,127.0078305,23.49,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
하이오커피 조원뉴타운점,경기도,수원시,경기도 수원시 장안구 조원로112번길 33,경기도 수원시 장안구 조원동 725-8,37.30371104,127.0149028,26.03,031-8004-7258,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
달바머랭,경기도,수원시,경기도 수원시 장안구 수일로 112,경기도 수원시 장안구 송죽동 101-5,37.30893759,127.0027956,28.03,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
이마트24 R수원조원센터점,경기도,수원시,경기도 수원시 장안구 금당로39번길 6,경기도 수원시 장안구 조원동 859-3,37.30319441,127.0161027,9.54,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
미는샐러드,경기도,수원시,경기도 수원시 장안구 율전로 76,경기도 수원시 장안구 율전동 413-1,37.29626483,126.9677097,37.57,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원정자벽산점,경기도,수원시,경기도 수원시 장안구 정자천로188번길 53,경기도 수원시 장안구 정자동 29-5,37.29438001,126.9977563,39.59,031-241-1007,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
지에스25 서광교파크점,경기도,수원시,경기도 수원시 장안구 창훈로 30,경기도 수원시 장안구 연무동 300,37.29481651,127.0315081,5.6,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
컴포즈커피 거북시장사거리점,경기도,수원시,경기도 수원시 장안구 정조로 932,경기도 수원시 장안구 영화동 285-9,37.29088553,127.0130505,28.12,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
짱PC방,경기도,수원시,경기도 수원시 장안구 팔달로271번길 8,경기도 수원시 장안구 영화동 281-6,37.28996208,127.0144403,5.47,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
더카페서수원점,경기도,수원시,경기도 수원시 권선구 서부로 1937,,37.2830108175,126.9667018821,,,경기도 수원시 권선구 환경위생과,031-5191-6327,2026-03-20,3740000,경기도 수원시
이디야 수원서광교스위첸점,경기도,수원시,경기도 수원시 장안구 창훈로 30,경기도 수원시 장안구 연무동 300,37.29481651,127.0315081,110.5,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
민플라워카페,경기도,수원시,경기도 수원시 장안구 수원천로428번길 41,경기도 수원시 장안구 연무동 174-9,37.28972112,127.0226171,57.48,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
빽다방 수원율전점,경기도,수원시,경기도 수원시 장안구 서부로 2157,경기도 수원시 장안구 율전동 236,37.30094141,126.9724169,52,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
스윗욜랑,경기도,수원시,경기도 수원시 장안구 영화로38번길 26,경기도 수원시 장안구 영화동 353-7,37.29081979,127.0099756,48.45,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
꼬꼬닭강정,경기도,수원시,경기도 수원시 장안구 화산로 85,경기도 수원시 장안구 천천동 333,37.29115659,126.9805545,10,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
메가엠지씨커피 수원연무점,경기도,수원시,경기도 수원시 장안구 창룡대로 189,경기도 수원시 장안구 연무동 246-23,37.29257029,127.0306435,39.6,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
요리쿡조리쿡,경기도,수원시,경기도 수원시 장안구 수성로262번길 84,경기도 수원시 장안구 영화동 423-27,37.28729146,127.004787,18.91,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
텐수제버거 천천점,경기도,수원시,경기도 수원시 장안구 만석로5번길 6,경기도 수원시 장안구 천천동 528-1,37.29526261,126.9828483,39.2,031-269-1129,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
HYOM,경기도,수원시,경기도 수원시 장안구 서부로 2207,경기도 수원시 장안구 율전동 114-13,37.30525851,126.972415,38.16,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
희망김밥,경기도,수원시,경기도 수원시 장안구 율전로97번길 15,경기도 수원시 장안구 율전동 395-5,37.29801386,126.9678107,17.6,031-295-9036,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
백억커피 수원장안점,경기도,수원시,경기도 수원시 장안구 파장로 74,경기도 수원시 장안구 파장동 581-1,37.30625285,126.9927254,62.4,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
커피서재,경기도,수원시,경기도 수원시 장안구 율전로101번길 50-9,경기도 수원시 장안구 율전동 324-9,37.2991969,126.9661401,34.02,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
씨유 장안센터점,경기도,수원시,경기도 수원시 장안구 서부로2197번길 26,경기도 수원시 장안구 율전동 108-7,37.30440777,126.9712107,3.6,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
카페인러쉬 정자두견마을점,경기도,수원시,경기도 수원시 장안구 정자천로188번길 28,경기도 수원시 장안구 정자동 884-4,37.29497112,126.9955839,22.4,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
씨유 장안프리미엄점,경기도,수원시,경기도 수원시 장안구 경수대로 998,경기도 수원시 장안구 송죽동 216-1,37.30595562,127.0026046,3.4,,경기도 수원시 장안구 환경위생과,031-5191-5143,2026-03-20,3740000,경기도 수원시
